iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
162,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
163,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
164,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
165,0.005952380952380952,0.005952380952380952,0.005952380952380952,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
166,0.005917159763313609,0.005917159763313609,0.005917159763313609,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
167,0.0058823529411764705,0.0058823529411764705,0.0058823529411764705,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
168,0.005847953216374269,0.005847953216374269,0.005847953216374269,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
169,0.005813953488372093,0.005813953488372093,0.005813953488372093,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
170,0.005780346820809248,0.005780346820809248,0.005780346820809248,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
171,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
172,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
173,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
174,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
175,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
176,0.00558659217877095,0.00558659217877095,0.00558659217877095,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
177,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
178,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
179,0.005494505494505495,0.005494505494505495,0.005494505494505495,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
180,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
181,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
182,0.005405405405405406,0.005405405405405406,0.005405405405405406,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
183,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
184,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
185,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
186,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
187,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
188,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
189,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
190,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
191,0.005154639175257732,0.005154639175257732,0.005154639175257732,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
192,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
193,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
194,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
